approach,seed,true_mean,true_var,estimate,sd,lb,ub,resid,cover,closer,N,n,total_var,psill_ratio,erange,gridded,resptype,nugget_ratio,psill,nugget
Design IRS,2161025.40651669,0.47203042835225156,0.26505260391351143,0.8306341870225259,0.3781288694029389,0.08951522147791624,1.5717531525671355,-0.35860375867027433,1,1,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,2161025.40651669,0.47203042835225156,0.26505260391351143,0.7090220757223503,0.14751788779003278,0.41989232857846515,0.9981518228662355,-0.23699164737009876,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model IRS,2161025.40651669,0.47203042835225156,0.26505260391351143,0.7147840714102074,0.3015732148543771,0.12370057029562831,1.3058675725247864,-0.24275364305795583,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,2161025.40651669,0.47203042835225156,0.26505260391351143,0.7090220757223635,0.16648055461718325,0.38272018867268437,1.0353239627720427,-0.23699164737011197,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design IRS,4735366.26695264,3.1759952620525236,13.388724977718732,3.460684524404735,0.7590494850011359,1.9729748713188329,4.948394177490637,-0.28468926235221126,1,1,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,4735366.26695264,3.1759952620525236,13.388724977718732,2.8225063373142962,0.47325931189067066,1.8949351306603734,3.750077543968219,0.35348892473822735,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model IRS,4735366.26695264,3.1759952620525236,13.388724977718732,3.460684524404673,0.759049485001121,1.972947533802476,4.948421515006871,-0.28468926235214953,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,4735366.26695264,3.1759952620525236,13.388724977718732,2.661064239498488,0.3316478859537088,2.0110343830292186,3.311094095967757,0.5149310225540358,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design IRS,5515814.431929781,4.938186647317121,22.997790175346452,4.214323440940333,1.7916543217051484,0.7027454976527037,7.725901384227964,0.7238632063767874,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,5515814.431929781,4.938186647317121,22.997790175346452,4.166269173786772,1.1791099391667348,1.8552561592067587,6.477282188366786,0.7719174735303485,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model IRS,5515814.431929781,4.938186647317121,22.997790175346452,4.632474488703605,1.7994686526866555,1.1055159294377601,8.15943304796945,0.30571215861351586,1,1,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,5515814.431929781,4.938186647317121,22.997790175346452,4.154009640834077,1.1870238377649638,1.8274429188147479,6.480576362853405,0.784177006483044,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design IRS,3151578.4867515173,4.702241320674889,37.601679141782355,5.755232105865447,1.3216874814105155,3.1647722434833856,8.34569196824751,-1.0529907851905582,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,3151578.4867515173,4.702241320674889,37.601679141782355,3.3062965265294975,0.8723832345671395,1.5964568060613464,5.0161362469976485,1.3959447941453917,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model IRS,3151578.4867515173,4.702241320674889,37.601679141782355,6.288033509647371,1.1071944871011699,4.117932314929078,8.458134704365664,-1.5857921889724818,1,1,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,3151578.4867515173,4.702241320674889,37.601679141782355,3.3062965449316235,0.9634464674993606,1.4179414686328768,5.194651621230371,1.3959447757432657,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design IRS,1772654.1202558442,2.072586762710618,5.336713564972793,0.8844259049824209,0.20303398608590303,0.4864866046164446,1.2823652053483972,1.1881608577281972,0,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,1772654.1202558442,2.072586762710618,5.336713564972793,2.4367466604714507,0.6329808453148164,1.196127000750692,3.6773663201922098,-0.3641598977608327,1,1,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model IRS,1772654.1202558442,2.072586762710618,5.336713564972793,1.1233544919387386,0.143467145294791,0.8421588871609482,1.404550096716529,0.9492322707718794,0,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,1772654.1202558442,2.072586762710618,5.336713564972793,2.2127301542699915,0.45115762337991383,1.3284612124453603,3.0969990960946228,-0.1401433915593735,1,0,900,10,2,0.9,2,TRUE,lognormal,0.09999999999999998,1.8,0.19999999999999996
