approach,seed,true_mean,true_var,estimate,sd,lb,ub,resid,cover,closer,N,n,psill_ratio,range,gridded,resptype,total_var,nugget_ratio,psill,nugget
Design IRS,1,-0.7310144113700792,0.9018061635334941,-0.5858346560775701,0.14191123402530037,-0.8639755637687938,-0.3076937483863464,-0.14517975529250904,1,1,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,1,-0.7310144113700792,0.9018061635334941,-0.9468724105662921,0.11170186151613558,-1.1658040361439985,-0.7279407849885857,0.21585799919621296,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model IRS,1,-0.7310144113700792,0.9018061635334941,-0.6247699752990135,0.10731631185467379,-0.835109946534174,-0.41443000406385283,-0.1062444360710657,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,1,-0.7310144113700792,0.9018061635334941,-0.8639424045446592,0.11166220401956516,-1.0828003244230069,-0.6450844846663115,0.13292799317458004,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design IRS,2,0.48404297866351037,1.0977565709435264,0.5998431366428562,0.13406350454725915,0.3370834960890065,0.86260277719670575,-0.11580015797934579,1,1,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,2,0.48404297866351037,1.0977565709435264,0.4214909452498481,0.09382529818957715,0.23759673995954578,0.6053851505401504,0.06255203341366228,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model IRS,2,0.48404297866351037,1.0977565709435264,0.4815817739022086,0.12271696855404439,0.24105651553628157,0.7221070322681356,0.002461204761301794,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,2,0.48404297866351037,1.0977565709435264,0.41596477658707154,0.09425192633936837,0.23123100096190954,0.6006985522122336,0.06807820207643883,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design IRS,3,0.4605741050914671,1.735343891970891,0.05764648116378516,0.17234305047059736,-0.2801396907443544,0.39543265307192477,0.40292762392768194,0,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,3,0.4605741050914671,1.735343891970891,0.5510626716670035,0.11300569927266438,0.32957557104481716,0.7725497722891899,-0.09048856657553639,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model IRS,3,0.4605741050914671,1.735343891970891,0.30773415689953726,0.12145101833970766,0.06969016095371025,0.5457781528453642,0.15283994819192986,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Model GRTS,3,0.4605741050914671,1.735343891970891,0.5731233857126921,0.08216402391753662,0.4120818988343203,0.7341648725910639,-0.11254928062122493,1,1,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design IRS,4,-0.33163143897144237,0.8971482566646727,-0.4023050674953666,0.13395695230973587,-0.6648558695011985,-0.13975426548953473,0.07067362852392423,1,0,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
Design GRTS,4,-0.33163143897144237,0.8971482566646727,-0.31424266764597614,0.09360944280155563,-0.4977138041498873,-0.13077153114206494,-0.017388771325466235,1,1,900,50,0.9,0.47140452079103173,FALSE,normal,2,0.09999999999999998,1.8,0.19999999999999996
